mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,mfcc_13_var,spec_centroid_mean,spec_centroid_var,spec_bandwidth_mean,spec_bandwidth_var,rolloff_mean,rolloff_var,flux_mean,flux_var,flatness_mean,flatness_var,zcr_mean,zcr_var,rms_mean,rms_var,is_insecta
-457.182,-27.615,-7.902,87.386,-27.094,26.917,-2.89,10.692,2.795,-9.673,11.245,4.644,-2.549,378.347,352.848,174.344,46.715,111.483,89.73,56.144,45.809,79.124,107.945,92.073,68.844,46.024,6053.212,187920.705,2420.051,148411.029,7987.77,198815.666,1.051,0.21,0.02,0.0,0.371,0.001,0.011,0.0,False
-451.401,-22.672,-15.683,93.317,-25.105,25.519,-4.547,15.306,-0.606,-9.735,6.905,7.252,-1.901,396.876,200.034,176.094,93.752,79.97,59.773,47.241,37.291,42.46,52.072,88.891,54.036,37.964,5867.525,151283.369,2473.765,51430.454,8001.298,90353.747,0.99,0.093,0.02,0.0,0.36,0.001,0.006,0.0,False
-456.031,-24.423,-17.08,92.399,-24.114,19.734,-3.808,16.356,-0.961,-12.069,11.126,6.24,-3.006,195.081,200.669,125.304,36.162,51.963,97.015,38.029,50.943,110.743,64.324,39.969,41.946,57.059,5822.606,154329.89,2462.573,62511.03,7949.131,77168.369,1.02,0.101,0.02,0.0,0.354,0.001,0.008,0.0,False
-458.103,-26.177,-10.296,92.317,-28.389,22.758,-1.497,10.952,-0.783,-6.988,9.013,6.163,-2.158,349.964,346.803,122.516,85.711,71.287,74.158,29.252,35.753,76.288,76.132,51.767,33.608,36.028,5900.933,111579.238,2457.215,102824.499,8031.05,129063.771,1.01,0.099,0.023,0.0,0.36,0.001,0.008,0.0,False
-209.19,60.518,-10.017,24.976,-5.605,27.274,2.13,9.054,7.581,7.714,5.288,14.917,-1.288,4566.606,304.165,31.65,115.407,207.275,143.104,29.053,53.89,56.758,33.614,35.236,31.853,24.717,4517.828,425888.714,3887.714,141287.623,8888.129,857638.726,1.248,2.741,0.031,0.001,0.171,0.004,0.032,0.0,False
-202.789,63.819,-11.595,27.386,-11.371,31.248,1.035,6.45,8.205,7.233,4.759,14.107,-0.446,251.233,250.236,23.264,123.743,212.251,119.038,35.521,45.24,43.071,39.792,41.325,22.621,19.456,4397.729,342151.236,3715.694,146848.523,8387.68,189297.03,1.162,0.359,0.024,0.0,0.166,0.004,0.033,0.0,False
-184.718,50.127,-15.436,27.22,-4.207,21.858,0.353,11.88,3.678,7.964,4.759,15.884,-3.927,257.532,228.384,15.914,103.64,185.471,113.739,25.78,44.248,53.741,30.265,35.362,19.427,17.52,4889.862,217247.573,3904.274,157549.786,9382.887,608266.027,1.122,0.299,0.042,0.0,0.207,0.003,0.033,0.0,False
-198.65,62.437,-12.217,26.282,-13.713,30.815,0.702,5.821,8.185,7.283,4.267,13.483,-0.514,269.955,297.794,23.737,129.361,222.388,100.211,32.431,41.736,50.143,51.293,45.766,26.172,15.816,4497.436,360156.762,3675.198,148198.293,8415.635,202742.081,1.201,0.466,0.032,0.0,0.188,0.004,0.032,0.0,False
-176.268,41.491,-10.295,25.499,-3.707,20.773,1.033,11.113,3.77,9.516,3.221,15.729,-4.709,437.476,373.434,18.323,103.025,208.515,115.291,29.48,63.932,51.864,33.103,37.716,24.961,23.206,5375.672,492195.454,4028.353,212004.857,10133.536,1828768.953,1.122,0.291,0.056,0.001,0.252,0.004,0.035,0.0,False
-196.292,58.026,-13.639,28.268,-14.568,31.144,-0.911,6.299,7.559,7.209,3.666,12.732,-0.014,337.635,351.847,22.271,143.811,253.395,113.33,39.455,45.473,50.871,43.918,50.968,27.664,21.929,4638.198,428632.833,3636.241,203870.068,8509.635,236691.601,1.206,0.509,0.033,0.0,0.201,0.004,0.034,0.0,False
