mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,mfcc_13_var,spec_centroid_mean,spec_centroid_var,spec_bandwidth_mean,spec_bandwidth_var,rolloff_mean,rolloff_var,flux_mean,flux_var,flatness_mean,flatness_var,zcr_mean,zcr_var,rms_mean,rms_var,is_insecta
-514.152,-104.246,-73.625,37.189,-60.273,9.274,-8.646,12.241,7.273,-5.562,13.055,3.542,-6.235,400.697,341.625,167.217,53.165,111.321,89.014,53.431,43.064,77.338,104.757,87.505,65.983,41.204,6283.519,139696.594,2186.858,111098.018,8057.758,211385.351,0.872,0.177,0.013,0.0,0.378,0.001,0.011,0.0,False
-521.421,-117.332,-98.145,28.401,-70.413,-1.317,-16.426,13.676,3.305,-4.069,11.818,10.179,-1.249,427.058,208.949,184.563,90.326,83.07,59.668,45.327,34.221,42.068,50.711,85.339,52.505,32.843,6108.385,144283.597,2234.479,36851.1,8064.097,96073.414,0.853,0.083,0.013,0.0,0.367,0.001,0.006,0.0,False
-514.62,-103.264,-84.702,40.686,-58.327,1.522,-9.62,18.308,4.356,-6.838,14.238,6.467,-5.417,192.572,196.998,107.459,40.356,56.783,85.922,39.445,52.041,102.834,61.524,35.371,39.594,53.168,6038.739,131888.594,2255.268,46997.657,8001.947,81151.517,0.844,0.096,0.013,0.0,0.359,0.001,0.008,0.0,False
-518.867,-108.016,-80.76,38.109,-64.648,3.07,-8.248,12.461,4.449,-1.577,12.435,6.741,-4.293,352.875,328.507,122.49,85.802,68.075,72.013,28.303,32.927,69.461,76.915,49.183,30.559,33.434,6139.419,98377.228,2223.031,67928.692,8098.343,138945.623,0.842,0.081,0.015,0.0,0.366,0.001,0.008,0.0,False
-305.381,-65.616,-125.595,-69.095,-80.614,-24.22,-34.174,-11.167,-6.205,1.677,-0.603,12.628,-5.497,5035.645,317.309,281.452,173.086,310.695,140.506,39.84,61.999,58.061,33.035,38.857,32.09,23.476,5700.512,197745.562,3621.109,229501.253,9820.288,1105116.383,1.18,2.774,0.053,0.001,0.301,0.002,0.02,0.0,False
-295.993,-61.352,-125.531,-65.474,-84.415,-18.788,-33.025,-12.232,-3.539,2.454,0.441,12.61,-3.551,263.27,253.555,32.726,131.504,212.51,120.955,37.61,47.159,46.019,37.859,41.598,21.716,18.448,5532.232,102183.914,3453.317,253034.609,9281.899,525904.225,1.075,0.353,0.044,0.0,0.294,0.002,0.022,0.0,False
-278.223,-75.762,-129.764,-66.325,-77.596,-28.8,-33.996,-7.357,-8.248,2.775,0.431,14.168,-6.859,241.798,258.908,29.89,107.18,200.923,114.472,28.766,46.875,55.265,30.57,33.671,18.468,17.767,5836.404,73134.391,3643.328,209505.55,10022.614,872227.389,1.036,0.286,0.054,0.0,0.313,0.001,0.024,0.0,False
-292.401,-63.69,-126.898,-67.477,-87.412,-20.001,-33.876,-13.485,-3.896,2.092,-0.159,11.807,-3.487,267.266,319.726,31.56,128.895,228.306,95.715,34.01,45.781,51.022,54.467,45.955,25.892,16.393,5526.839,116090.855,3422.035,245859.253,9217.302,507662.984,1.119,0.458,0.046,0.0,0.293,0.002,0.023,0.0,False
-268.441,-82.465,-122.797,-66.196,-75.384,-28.175,-31.755,-6.593,-6.82,5.6,-0.052,14.987,-6.876,429.145,391.277,27.015,110.701,198.242,121.784,32.296,59.954,54.504,33.065,35.618,24.083,21.621,6256.872,283983.548,3741.829,232643.327,10773.812,1758658.077,1.031,0.287,0.059,0.001,0.347,0.002,0.027,0.0,False
-287.852,-65.79,-125.266,-63.284,-85.386,-17.689,-32.881,-11.354,-2.302,3.235,0.991,11.793,-1.728,346.077,337.606,31.062,157.119,243.574,114.524,41.753,45.437,51.865,44.766,51.61,25.619,21.591,5605.076,135649.341,3378.238,285974.044,9224.141,517218.337,1.117,0.513,0.046,0.0,0.301,0.002,0.026,0.0,False
